trace_id,task_id,generator_name,confidence_score,answer_json,reasoning_steps_json,created_at
714a192d-315d-4713-9c77-844a473b8f6a,colour_swap_001,greedy,0.9056,"[[2, 0, 1], [1, 2, 0], [0, 1, 2]]","[""Identified 3 distinct colour mappings from 2 training pairs."", ""Derived greedy best mapping: {1: 2, 2: 1, 0: 0}."", ""Applied mapping to 3x3 test grid (coverage=1.00).""]",2026-04-13T12:52:28.301900+00:00
c9fa4cce-0c86-4599-affd-b5e826f70c9f,colour_swap_001,diverse,0.9056,"[[2, 0, 1], [1, 2, 2], [0, 1, 2]]","[""Initialised from greedy answer."", ""Perturbed 1 cell(s) at rate 0.1."", ""Final answer differs from greedy in 1 position(s).""]",2026-04-13T12:52:28.317566+00:00
7d56222f-1da1-471b-b09e-179fb9f33cdb,colour_swap_001,adversarial,0.1817,"[[2, 0, 1], [1, 2, 0], [0, 1, 2]]","[""Computed inverted colour mapping: {2: 1, 1: 2, 0: 0}."", ""Applied inverse mapping to introduce adversarial hypothesis."", ""Low confidence assigned; designed to test tribunal rejection.""]",2026-04-13T12:52:28.332988+00:00
7c44dbb7-77db-4957-adde-f3fa97ed7798,colour_swap_001,rule_first,0.2909,"[[1, 0, 2], [2, 1, 0], [0, 2, 1]]","[""Evaluated 5 candidate rules against 2 training pairs."", ""Best rule: 'copy' with training fit=0.00."", ""Applied selected rule to test input.""]",2026-04-13T12:52:28.348645+00:00
8217b68a-0cc4-400b-bd48-e6f40365d600,colour_swap_001,minimal_description,0.4655,"[[2, 0, 1], [1, 2, 0], [0, 1, 2]]","[""Input has 3 distinct colour(s): [0, 1, 2]."", ""Greedy answer has 3 colour(s): [0, 1, 2]."", ""Simplification applied: False."", ""Final answer uses 3 colour(s). MDL score=0.250.""]",2026-04-13T12:52:28.363356+00:00
e1da58e0-bf3c-4fd5-b6f4-6c6715a7b0ab,copy_identity_003,greedy,0.9056,"[[2, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Identified 10 distinct colour mappings from 2 training pairs."", ""Derived greedy best mapping: {1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 0: 0}."", ""Applied mapping to 3x3 test grid (coverage=1.00).""]",2026-04-13T12:52:28.462716+00:00
2b656cde-a286-40a7-9613-eac8a18fb383,copy_identity_003,diverse,0.9056,"[[0, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Initialised from greedy answer."", ""Perturbed 1 cell(s) at rate 0.1."", ""Final answer differs from greedy in 1 position(s).""]",2026-04-13T12:52:28.479882+00:00
dfeb4367-bc62-4f51-b718-ef1f4e4ff0f2,copy_identity_003,adversarial,0.1817,"[[2, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Computed inverted colour mapping: {1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 0: 0}."", ""Applied inverse mapping to introduce adversarial hypothesis."", ""Low confidence assigned; designed to test tribunal rejection.""]",2026-04-13T12:52:28.495097+00:00
ac98c789-b1fc-40e9-afce-7d764e066b9f,copy_identity_003,rule_first,0.7909,"[[2, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Evaluated 5 candidate rules against 2 training pairs."", ""Best rule: 'copy' with training fit=1.00."", ""Applied selected rule to test input.""]",2026-04-13T12:52:28.511654+00:00
56ff6e4a-bdfa-4b5b-ac98-4bcd5cf2f936,copy_identity_003,minimal_description,0.4989,"[[2, 0, 2], [0, 2, 0], [2, 0, 2]]","[""Input has 2 distinct colour(s): [0, 2]."", ""Greedy answer has 2 colour(s): [0, 2]."", ""Simplification applied: False."", ""Final answer uses 2 colour(s). MDL score=0.333.""]",2026-04-13T12:52:28.529158+00:00
6d0c7325-50ff-4cc7-9f4b-6e1f62d2db64,fill_background_002,greedy,0.6278,"[[4, 3, 4], [3, 4, 3], [4, 4, 3]]","[""Identified 3 distinct colour mappings from 2 training pairs."", ""Derived greedy best mapping: {3: 3, 0: 3, 5: 5}."", ""Applied mapping to 3x3 test grid (coverage=0.44).""]",2026-04-13T12:52:28.837317+00:00
09b5bbe9-4c1f-4334-8135-45aadd7d0a6b,fill_background_002,diverse,0.6278,"[[4, 3, 4], [3, 4, 4], [4, 3, 3]]","[""Initialised from greedy answer."", ""Perturbed 2 cell(s) at rate 0.1."", ""Final answer differs from greedy in 2 position(s).""]",2026-04-13T12:52:28.853724+00:00
1daf2c0b-94b0-4dad-859f-79669c09dcd6,fill_background_002,adversarial,0.1817,"[[4, 0, 4], [0, 4, 0], [4, 4, 0]]","[""Computed inverted colour mapping: {3: 0, 5: 5}."", ""Applied inverse mapping to introduce adversarial hypothesis."", ""Low confidence assigned; designed to test tribunal rejection.""]",2026-04-13T12:52:28.870838+00:00
463f67d5-07d8-4fe6-803d-ab09afd84357,fill_background_002,rule_first,0.7909,"[[4, 4, 4], [4, 4, 4], [4, 4, 4]]","[""Evaluated 5 candidate rules against 2 training pairs."", ""Best rule: 'fill_most_common' with training fit=1.00."", ""Applied selected rule to test input.""]",2026-04-13T12:52:28.888794+00:00
45273cb6-fac2-4cf1-a782-753441ff150b,fill_background_002,minimal_description,0.4989,"[[4, 3, 4], [3, 4, 3], [4, 4, 3]]","[""Input has 2 distinct colour(s): [0, 4]."", ""Greedy answer has 2 colour(s): [3, 4]."", ""Simplification applied: False."", ""Final answer uses 2 colour(s). MDL score=0.333.""]",2026-04-13T12:52:28.908626+00:00
e4b0ebb0-5742-4e98-8bab-e82824de4013,horizontal_flip_004,greedy,0.9056,"[[2, 1, 0], [0, 1, 2], [1, 0, 2]]","[""Identified 10 distinct colour mappings from 2 training pairs."", ""Derived greedy best mapping: {1: 0, 2: 2, 3: 1, 4: 6, 5: 5, 6: 4, 7: 9, 8: 8, 9: 7, 0: 0}."", ""Applied mapping to 3x3 test grid (coverage=1.00).""]",2026-04-13T12:52:29.099060+00:00
0491ae82-0d5f-476e-acfe-10af45c38b24,horizontal_flip_004,diverse,0.9056,"[[1, 1, 0], [0, 3, 2], [1, 0, 2]]","[""Initialised from greedy answer."", ""Perturbed 2 cell(s) at rate 0.1."", ""Final answer differs from greedy in 2 position(s).""]",2026-04-13T12:52:29.117638+00:00
77cd809e-3780-4e9b-9ec5-540848468dc5,horizontal_flip_004,adversarial,0.1817,"[[2, 3, 0], [0, 3, 2], [3, 0, 2]]","[""Computed inverted colour mapping: {0: 0, 2: 2, 1: 3, 6: 4, 5: 5, 4: 6, 9: 7, 8: 8, 7: 9}."", ""Applied inverse mapping to introduce adversarial hypothesis."", ""Low confidence assigned; designed to test tribunal rejection.""]",2026-04-13T12:52:29.135749+00:00
5dea64e1-8ff3-4d8e-8fef-cbc44f23ef7e,horizontal_flip_004,rule_first,0.7909,"[[0, 3, 2], [2, 3, 0], [2, 0, 3]]","[""Evaluated 5 candidate rules against 2 training pairs."", ""Best rule: 'flip_horizontal' with training fit=1.00."", ""Applied selected rule to test input.""]",2026-04-13T12:52:29.155229+00:00
ac9bbbb9-a0a0-490a-8f56-74fc6e7b6f40,horizontal_flip_004,minimal_description,0.4655,"[[2, 1, 0], [0, 1, 2], [1, 0, 2]]","[""Input has 3 distinct colour(s): [0, 2, 3]."", ""Greedy answer has 3 colour(s): [0, 1, 2]."", ""Simplification applied: False."", ""Final answer uses 3 colour(s). MDL score=0.250.""]",2026-04-13T12:52:29.173138+00:00
9b53f06f-65d0-49e9-adca-ecf1ea2fe729,vertical_flip_005,greedy,0.9056,"[[8, 9, 0], [0, 9, 8], [9, 0, 8]]","[""Identified 10 distinct colour mappings from 2 training pairs."", ""Derived greedy best mapping: {1: 0, 2: 8, 3: 9, 4: 4, 5: 5, 6: 6, 7: 1, 8: 2, 9: 3, 0: 0}."", ""Applied mapping to 3x3 test grid (coverage=1.00).""]",2026-04-13T12:52:29.314909+00:00
56d0f023-2833-4e72-8b59-d9753ad1312d,vertical_flip_005,diverse,0.9056,"[[2, 9, 0], [0, 9, 8], [8, 0, 8]]","[""Initialised from greedy answer."", ""Perturbed 2 cell(s) at rate 0.1."", ""Final answer differs from greedy in 2 position(s).""]",2026-04-13T12:52:29.335715+00:00
12b672b7-7d41-4be6-96a3-795b1fc88fc0,vertical_flip_005,adversarial,0.1817,"[[8, 9, 0], [0, 9, 8], [9, 0, 8]]","[""Computed inverted colour mapping: {0: 0, 8: 2, 9: 3, 4: 4, 5: 5, 6: 6, 1: 7, 2: 8, 3: 9}."", ""Applied inverse mapping to introduce adversarial hypothesis."", ""Low confidence assigned; designed to test tribunal rejection.""]",2026-04-13T12:52:29.358030+00:00
396e08c0-36c5-4439-905d-b31f3a4b2558,vertical_flip_005,rule_first,0.7909,"[[3, 0, 2], [0, 3, 2], [2, 3, 0]]","[""Evaluated 5 candidate rules against 2 training pairs."", ""Best rule: 'flip_vertical' with training fit=1.00."", ""Applied selected rule to test input.""]",2026-04-13T12:52:29.373853+00:00
485c0d85-860e-4124-89e1-4e0de82d9360,vertical_flip_005,minimal_description,0.4655,"[[8, 9, 0], [0, 9, 8], [9, 0, 8]]","[""Input has 3 distinct colour(s): [0, 2, 3]."", ""Greedy answer has 3 colour(s): [0, 8, 9]."", ""Simplification applied: False."", ""Final answer uses 3 colour(s). MDL score=0.250.""]",2026-04-13T12:52:29.389960+00:00
